numero,nombre,tipo,contacto,correo,telefono,observaciones,tipo_contribuyente_id,cuit,alta,baja,activo,frecuencia,importe,nro_cuenta_id,fecha_donacion
D00001,TechNova Solutions S.R.L,Empresa,Contacto A,TechNova Solutions@example.com,(011) 50000001,Observación 1,5,20123456789,2024-02-26,2024-04-01,NO,Mensual,292.732,5,
D00002,EnergiaPlus S.A,Empresa,Contacto B,EnergiaPlus S.A.@example.com,(011) 50000002,Observación 2,4,21234567890,2024-01-12,2024-04-01,NO,Bimestral,326.439,7,
D00003,Grupo Delta S.R.L,Empresa,Contacto C,Grupo Delta@example.com,(011) 50000003,Observación 3,5,22345678901,2024-06-08,,SI,Anual,276.92,7,
D00004,Inova Global S.R.L,Empresa,Contacto D,Inova Global@example,(011) 50000004,Observación 4,4,23456789012,2024-02-11,2024-04-01,NO,Mensual,406.733,5,
D00005,Vanguardia Consultora S.R.L,Empresa,Contacto E,Vanguardia Consultora@example.com,(011) 50000005,Observación 5,5,24567890123,2024-05-29,,SI,Bimestral,352.572,7,
D00006,EcoTech Argentina,Empresa,Contacto F,EcoTech Argentina@example.com,(011) 50000006,Observación 6,4,25678901234,2024-02-07,2024-04-01,NO,Anual,499.223,7,
D00007,NexGen Industries S.R.L,Empresa,Contacto G,NexGen Industries@example.com,(011) 50000007,Observación 7,5,26789012345,2024-06-26,,SI,Mensual,344.73,5,
D00008,RedHorizonte S.R.L,Empresa,Contacto H,RedHorizonte@example.com,(011) 50000008,Observación 8,4,27890123456,,,SI,Bimestral,489.625,7,
D00009,Optima Logística S.R.L,Empresa,Contacto I,Optima Logística@example.com,(011) 50000009,Observación 9,5,28901234567,2024-05-17,,SI,Anual,428.367,7,
D00010,Punto Verde S.R.L,Empresa,Contacto J,Punto Verde@example.com,(011) 50000010,Observación 10,4,29012345678,2024-04-01,,SI,Mensual,362.84,5,
D00011,Zenith Digital S.R.L,Empresa,Contacto K,Zenith Digital@example.com,(011) 50000011,Observación 11,5,20123456790,2024-03-16,2024-04-01,NO,Bimestral,152.834,7,
D00012,CreaTech S.R.L,Empresa,Contacto L,CreaTech S.R.L.@example.com,(011) 50000012,Observación 12,4,21234567801,2024-04-15,,SI,Anual,175.31,7,
D00013,Alfa Innovaciones S.R.L,Empresa,Contacto M,Alfa Innovaciones@example.com,(011) 50000013,Observación 13,5,22345678912,2024-02-04,2024-04-01,NO,Mensual,417.633,5,
D00013,Alfa Innovaciones S.R.L,Empresa,Contacto M,Alfa Innovaciones@example.com,(011) 50000013,Observación 13,5,22345678912,2024-02-04,2024-04-01,NO,Mensual,169.763,5,
D00014,ServiNet S.A,Empresa,Contacto N,ServiNet@example.com,(011) 50000014,Observación 14,4,23456789023,2024-06-05,,SI,Bimestral,244.263,7,
D00015,AeroPlus S.A,Empresa,Contacto O,AeroPlus@example,(011) 50000015,Observación 15,5,24567890134,2024-03-23,2024-04-01,NO,Anual,109.935,7,
D00016,MaxiData,Empresa,Contacto P,MaxiData@example.com,(011) 50000016,Observación 16,4,25678901245,2024-04-07,,SI,Mensual,483.186,5,
D00017,EcoAventura S.A,Empresa,Contacto Q,EcoAventura@example.com,(011) 50000017,Observación 17,5,26789012356,2024-03-29,2024-04-01,NO,Bimestral,349.289,7,
D00018,Sigma Consulting S.A,Empresa,Contacto R,Sigma Consulting@example.com,(011) 50000018,Observación 18,4,27890123467,2024-03-30,,SI,Anual,191.824,7,
D00019,Soluciones Avanzadas S.A,Empresa,Contacto S,Soluciones Avanzadas@example.com,(011) 50000019,Observación 19,5,28901234578,2024-01-01,2024-04-01,NO,Mensual,349.612,5,
D00020,RedSol Argentina S.A,Empresa,Contacto T,RedSol Argentina@example.com,(011) 50000020,Observación 20,4,29012345689,2024-03-04,2024-04-01,NO,Bimestral,452.948,7,
D00021,Grupo Synthesis S.A,Empresa,Contacto U,Grupo Synthesis@example.com,(011) 50000021,Observación 21,5,20123456801,2024-04-16,,SI,Anual,359.387,7,
