nro_proveedor,nombre_proveedor,cuit,categoria_proveedor,tipo_contribuyente_id,contacto,correo,telefono,importe,fecha,nro_cuenta_id,ciudad,pais
D00011,Javier López S.A.,30-65432198-7,AGENTE /IMPOSITIVO,4,Javier López,javier.lopez@correo.zom,1234-5678,117.106,2024-06-04,38,,Argentina
D00030,Constructora Beta S.R.L.,30-32165499-3,SERVICIOS,5,Ricardo Martínez,ricardo.martinez@empresa.zom,0123-4567,23.335,2024-01-07,21,,Argentina
D00037,Distribuciones AB S.A.,30-97531245-9,MATERIALES,5,Gabriela Ruiz,gabriela.ruiz@correo.com,7890-1234,75.33,2024-03-08,24,,Argentina
D00048,Estudio Jurídico Beta S.R.L.,,MATERIALES,4,Estudio Jurídico,estudio.juridico@correo.zom,8901-2345,204.368,2024-04-19,21,,Argentina
D00053,Estudio Jurídico Zeta S.A.,30-12345678-5,SERVICIOS,5,Estudio Jurídico,estudio.zeta@correo.com,3456-7890,164.873,2024-01-03,19,,Argentina
D00055,Servicios Alpha S.A.,30-24681360-6,SERVICIOS,5,Servicios Alpha,servicios.alpha@correo.zom,5678-9012,55.617,2024-03-15,24,,Argentina
P00001,Proveedora S.A.,30-12345678-9,SERVICIOS,5,Juan Pérez,juan.perez@empresa.com,1234-5678,189.954,2024-03-18,19,Buenos Aires,Argentina
P00002,Pedro González S.R.L.,30-87654321-0,SERVICIOS,4,Pedro González,pedro.gonzalez@correo.zom,2345-6789,18.521,2024-02-08,21,Cordoba,Argentina
P00003,Empresa XYZ S.A.,30-13579246-3,MATERIALES,5,María López,maria.lopez@empresa.com,3456-7890,139.687,2024-01-18,24,Rosario,Argentina
P00004,Servicios AB S.R.L.,30-24681357-2,AGENTE /IMPOSITIVO,5,Laura Ruiz,laura.ruiz@correo.zom,AR4567-8901,72.357,2024-03-09,27,Mendoza,Argentina
P00005,Carlos Méndez S.A.,30123456789,SERVICIOS,4,Carlos Méndez,carlos.mendez@correo.com,5678-9012,173.227,2024-03-28,36,Buenos Aires,Argentina
P00005,Carlos Méndez S.A.,30123456789,SERVICIOS,4,Carlos Méndez,carlos.mendez@correo.com,5678-9012,30.808,2024-04-14,38,Buenos Aires,Argentina
P00006,Grupo Alfa S.R.L.,30-97531246-1,SERVICIOS,5,Alberto Fernández,alberto.fernandez@empresa.zom,6789-0123,150.678,2024-01-09,19,San Miguel de Tucumán,Argentina
P00007,Ana Sánchez S.A.,30-19283746-4,SERVICIOS,5,Ana Sánchez,ana.sanchez@correo.com,7890-1234,101.603,2024-05-06,21,Mar del Plata,Argentina
P00008,Compañía Beta S.R.L.,30-74859632-7,AGENTE /IMPOSITIVO,4,Laura Martínez,laura.martinez@empresa.zom,8901-2345,58.428,2024-06-12,24,La Plata,Argentina
P00008,Compañía Beta S.R.L.,30-74859632-7,AGENTE /IMPOSITIVO,4,Laura Martínez,laura.martinez@empresa.zom,8901-2345,283.772,2024-01-21,24,La Plata,Argentina
P00009,Fernando Gómez S.A.,30-12345679-8,MATERIALES,5,Fernando Gómez,fernando.gomez@correo.zom,9012-3456,98.854,2024-01-20,27,Mendoza,Argentina
P00009,Fernando Gómez S.A.,30-12345679-8,MATERIALES,5,Fernando Gómez,fernando.gomez@correo.zom,9012-3456,155.351,2024-03-06,27,Mendoza,Argentina
P00010,Soluciones Gama S.R.L.,30-98765432-1,SERVICIOS,5,Javier Martínez,javier.martinez@empresa.com,0123-4567,28.033,2024-01-28,36,Mar del Plata,Argentina
P00010,Soluciones Gama S.R.L.,30-98765432-1,SERVICIOS,5,Javier Martínez,javier.martinez@empresa.com,0123-4567,242.014,2024-05-02,36,Mar del Plata,Argentina
P00012,Proveedor Ltda. S.R.L.,30-32165487-0,SERVICIOS,5,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,29.11,2024-04-09,19,Salta,Argentina
P00012,Proveedor Ltda. S.R.L.,30-32165487-0,SERVICIOS,5,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,128.252,2024-06-03,19,Salta,Argentina
P00013,Repuestos Omega S.A.,30-45678901-2,SERVICIOS,4,Sergio Castro,sergio.castro@correo.zom,3456-7890,165.07,2024-04-14,21,Santa Fe,Argentina
P00013,Repuestos Omega S.A.,30-45678901-2,SERVICIOS,4,Sergio Castro,sergio.castro@correo.zom,3456-7890,168.452,2024-02-01,21,Santa Fe,Argentina
P00014,Estudio Jurídico Alfa S.R.L.,30-13579248-7,MATERIALES,5,María Hernández,maria.hernandez@correo.com,4567-8901,78.723,2024-01-15,24,San Juan,Argentina
P00014,Estudio Jurídico Alfa S.R.L.,30-13579248-7,MATERIALES,5,María Hernández,maria.hernandez@correo.com,4567-8901,248.954,2024-06-19,24,San Juan,Argentina
P00015,Rosa Pérez S.A.,30-24681358-6,AGENTE /IMPOSITIVO,5,Rosa Pérez,rosa.perez@correo.zom,5678-9012,115.62,2024-05-24,27,Buenos Aires,Argentina
P00015,Rosa Pérez S.A.,30-24681358-6,AGENTE /IMPOSITIVO,5,Rosa Pérez,rosa.perez@correo.zom,5678-9012,234.322,2024-05-19,27,Buenos Aires,Argentina
P00016,Marketing Global S.R.L.,30-97531247-8,SERVICIOS,5,Gabriela Gómez,gabriela.gomez@empresa.com,AR6789-0123,234.752,2024-04-09,36,Neuquén,Argentina
P00016,Marketing Global S.R.L.,30-97531247-8,SERVICIOS,5,Gabriela Gómez,gabriela.gomez@empresa.com,AR6789-0123,158.655,2024-04-10,36,Neuquén,Argentina
P00017,Julio Fernández S.A.,30-86430976-9,MATERIALES,4,Julio Fernández,julio.fernandez@correo.zom,7890-1234,121.086,2024-05-01,38,Rio Gallegos,Argentina
P00017,Julio Fernández S.A.,30-86430976-9,MATERIALES,4,Julio Fernández,julio.fernandez@correo.zom,7890-1234,252.04,2024-03-05,38,Rio Gallegos,Argentina
P00018,Consultora Zeta S.R.L.,30-19283747-0,SERVICIOS,5,Laura Sánchez,laura.sanchez@empresa.zom,8901-2345,62.378,2024-01-03,19,San Rafael,Argentina
P00018,Consultora Zeta S.R.L.,30-19283747-0,SERVICIOS,5,Laura Sánchez,laura.sanchez@empresa.zom,8901-2345,299.795,2024-02-04,19,San Rafael,Argentina
P00019,Ana López S.A.,30-32165498-1,SERVICIOS,5,Ana López,ana.lopez@correo.com,9012-3456,128.838,2024-04-06,21,,Argentina
P00019,Ana López S.A.,30-32165498-1,SERVICIOS,5,Ana López,ana.lopez@correo.com,9012-3456,207.617,2024-05-17,21,,Argentina
P00020,Juegos del Norte S.R.L.,30-45678902-3,MATERIALES,5,Pablo Fernández,pablo.fernandez@empresa.zom,0123-4567,122.127,2024-03-17,24,,Argentina
P00020,Juegos del Norte S.R.L.,30-45678902-3,MATERIALES,5,Pablo Fernández,pablo.fernandez@empresa.zom,0123-4567,292.966,2024-04-15,24,,Argentina
P00021,Distribuciones ABC S.A.,30-65432199-4,SERVICIOS,4,Francisco Gómez,francisco.gomez@correo.zom,1234-5678,122.88,2024-05-06,27,,Argentina
P00021,Distribuciones ABC S.A.,30-65432199-4,SERVICIOS,4,Francisco Gómez,francisco.gomez@correo.zom,1234-5678,270.035,2024-03-28,27,,Argentina
P00022,Roberto Morales S.R.L.,30-98765431-5,AGENTE /IMPOSITIVO,5,Roberto Morales,roberto.morales@correo.com,2345-6789,229.012,2024-06-10,38,,Argentina
