Número,Nombre,Nombre,Tipo,Contacto,Cargo,Correo Electrónico,Teléfono,Observaciones,Razon Social,tipo_contribuyente_id,CUIT,Alta,Baja,Activo,Frecuencia,Importe,nro_cuenta_id,Fecha de la donacion
D00001,TechNova Solutions S.R.L,TechNova Solutions,Empresa,Contacto A,-,TechNova Solutions@example.com,(011) 5000-0001,Observación 1,S.R.L,5,20-12345678-9,26/02/2024,01/04/2024,NO,Mensual,$292.732,5,
D00002,EnergiaPlus S.A,EnergiaPlus,Empresa,Contacto B,-,EnergiaPlus S.A.@example.com,(011) 5000-0002,Observación 2,S.A,4,21-23456789-0,12/01/2024,01/04/2024,NO,Bimestral,$326.439,7,
D00003,Grupo Delta S.R.L,Grupo Delta,Empresa,Contacto C,-,Grupo Delta@example.com,(011) 5000-0003,Observación 3,S.R.L,5,22-34567890-1,08/06/2024,,SI,Anual,$276.920,7,
D00004,Inova Global S.R.L,Inova Global,Empresa,Contacto D,-,Inova Global@example,(011) 5000-0004,Observación 4,S.R.L,4,23-45678901-2,11/02/2024,01/04/2024,NO,Mensual,$406.733,5,
D00005,Vanguardia Consultora S.R.L,Vanguardia Consultora,Empresa,Contacto E,-,Vanguardia Consultora@example.com,(011) 5000-0005,Observación 5,S.R.L,5,24-56789012-3,29/05/2024,,SI,Bimestral,$352.572,7,
D00006,EcoTech Argentina,EcoTech Argentina,Empresa,Contacto F,-,EcoTech Argentina@example.com,(011) 5000-0006,Observación 6,,4,25-67890123-4,07/02/2024,01/04/2024,NO,Anual,$499.223,7,
D00007,NexGen Industries S.R.L,NexGen Industries,Empresa,Contacto G,-,NexGen Industries@example.com,(011) 5000-0007,Observación 7,S.R.L,5,26-78901234-5,26/06/2024,,SI,Mensual,$344.730,5,
D00008,RedHorizonte S.R.L,RedHorizonte,Empresa,Contacto H,-,RedHorizonte@example.com,(011) 5000-0008,Observación 8,S.R.L,4,27-89012345-6,25/25/2024,,SI,Bimestral,$489.625,7,
D00009,Optima Logística S.R.L,Optima Logística,Empresa,Contacto I,-,Optima Logística@example.com,(011) 5000-0009,Observación 9,S.R.L,5,28-90123456-7,17/05/2024,,SI,Anual,$428.367,7,
D00010,Punto Verde S.R.L,Punto Verde,Empresa,Contacto J,-,Punto Verde@example.com,(011) 5000-0010,Observación 10,S.R.L,4,29-01234567-8,01/04/2024,,SI,Mensual,$362.840,5,
D00011,Zenith Digital S.R.L,Zenith Digital,Empresa,Contacto K,-,Zenith Digital@example.com,(011) 5000-0011,Observación 11,S.R.L,5,20-12345679-0,16/03/2024,01/04/2024,NO,Bimestral,$152.834,7,
D00012,CreaTech S.R.L,CreaTech,Empresa,Contacto L,-,CreaTech S.R.L.@example.com,(011) 5000-0012,Observación 12,S.R.L,4,21-23456780-1,15/04/2024,,SI,Anual,$175.310,7,
D00013,Alfa Innovaciones S.R.L,Alfa Innovaciones,Empresa,Contacto M,-,Alfa Innovaciones@example.com,(011) 5000-0013,Observación 13,S.R.L,5,22-34567891-2,04/02/2024,01/04/2024,NO,Mensual,$417.633,5,
D00013,Alfa Innovaciones S.R.L,Alfa Innovaciones,Empresa,Contacto M,-,Alfa Innovaciones@example.com,(011) 5000-0013,Observación 13,S.R.L,5,22-34567891-2,04/02/2024,01/04/2024,NO,Mensual,$169.763,5,
D00014,ServiNet S.A,ServiNet,Empresa,Contacto N,-,ServiNet@example.com,(011) 5000-0014,Observación 14,S.A,4,23-45678902-3,05/06/2024,,SI,Bimestral,$244.263,7,
D00015,AeroPlus S.A,AeroPlus,Empresa,Contacto O,-,AeroPlus@example,(011) 5000-0015,Observación 15,S.A,5,24-56789013-4,23/03/2024,01/04/2024,NO,Anual,$109.935,7,
D00016,MaxiData,MaxiData,Empresa,Contacto P,-,MaxiData@example.com,(011) 5000-0016,Observación 16,,4,25-67890124-5,07/04/2024,,SI,Mensual,$483.186,5,
D00017,EcoAventura S.A,EcoAventura,Empresa,Contacto Q,-,EcoAventura@example.com,(011) 5000-0017,Observación 17,S.A,5,26-78901235-6,29/03/2024,01/04/2024,NO,Bimestral,$349.289,7,
D00018,Sigma Consulting S.A,Sigma Consulting,Empresa,Contacto R,-,Sigma Consulting@example.com,(011) 5000-0018,Observación 18,S.A,4,27-89012346-7,30/03/2024,,SI,Anual,$191.824,7,
D00019,Soluciones Avanzadas S.A,Soluciones Avanzadas,Empresa,Contacto S,-,Soluciones Avanzadas@example.com,(011) 5000-0019,Observación 19,S.A,5,28-90123457-8,01/01/2024,01/04/2024,NO,Mensual,$349.612,5,
D00020,RedSol Argentina S.A,RedSol Argentina,Empresa,Contacto T,-,RedSol Argentina@example.com,(011) 5000-0020,Observación 20,S.A,4,29-01234568-9,04/03/2024,01/04/2024,NO,Bimestral,$452.948,7,
D00021,Grupo Synthesis S.A,Grupo Synthesis,Empresa,Contacto U,-,Grupo Synthesis@example.com,(011) 5000-0021,Observación 21,S.A,5,20-12345680-1,16/04/2024,,SI,Anual,$359.387,7,
D00022,DeltaElectro S.A,DeltaElectro,Empresa,Contacto V,-,DeltaElectro@example.com,(011) 5000-0022,Observación 22,S.A,4,21-23456781-2,04/02/2024,01/04/2024,NO,Mensual,$453.421,5,
D00023,SmartTech Argentina S.A,SmartTech Argentina,Empresa,Contacto W,-,SmartTech Argentina@example.com,(011) 5000-0023,Observación 23,S.A,5,22-34567892-3,30/05/2024,,SI,Bimestral,$333.679,7,
D00024,NovaVisión S.A,NovaVisión,Empresa,Contacto X,-,NovaVisión@example.com,(011) 5000-0024,Observación 24,S.A,4,23-45678903-4,31/05/2024,,SI,Anual,$152.261,7,
D00025,InfoMática S.A,InfoMática,Empresa,Contacto Y,-,InfoMática S.A.@example.com,(011) 5000-0025,Observación 25,S.A,5,24-56789014-5,08/06/2024,,SI,Mensual,$309.782,5,
D00026,Energía VIVA S.A,Energía VIVA,Empresa,Contacto Z,-,Energía VIVA@example,(011) 5000-0026,Observación 26,S.A,4,25-67890125-6,13/06/2024,,SI,Bimestral,$270.140,7,
D00027,TransWorld S.A,TransWorld,Empresa,Contacto AA,-,TransWorld@example.com,(011) 5000-0027,Observación 27,S.A,5,26-78901236-7,05/06/2024,,SI,Anual,$414.446,7,
D00028,Soluciones Urbanas,Soluciones Urbanas,Empresa,Contacto BB,-,Soluciones Urbanas@example.com,(011) 5000-0028,Observación 28,,4,27-89012347-8,27/01/2024,01/04/2024,NO,Mensual,$218.575,5,
D00029,GlobalNet S.R.L,GlobalNet,Empresa,Contacto CC,-,GlobalNet@example.com,(011) 5000-0029,Observación 29,S.R.L,5,28-90123458-9,18/06/2024,,SI,Bimestral,$272.633,7,
D00030,FuturoTech S.R.L,FuturoTech,Empresa,Contacto DD,-,FuturoTech@example.com,(011) 5000-0030,Observación 30,S.R.L,4,29-01234569-0,22/01/2024,01/04/2024,NO,Anual,$445.169,7,
D00031,InnovarX S.R.L,InnovarX,Empresa,Contacto EE,-,InnovarX@example.com,(011) 5000-0031,Observación 31,S.R.L,5,20-12345681-3,05/06/2024,,SI,Mensual,$189.438,5,
D00032,Cobra Solutions S.R.L,Cobra Solutions,Empresa,Contacto FF,-,Cobra Solutions@example.com,(011) 5000-0032,Observación 32,S.R.L,4,21-23456782-4,07/05/2024,,SI,Bimestral,$115.526,7,
D00033,Metrópolis S.A,Metrópolis,Empresa,Contacto GG,-,Metrópolis S.A.@example.com,(011) 5000-0033,Observación 33,S.A,5,22-34567893-5,21/04/2024,,SI,Anual,$154.409,7,
D00034,Vortex Energía S.R.L,Vortex Energía,Empresa,Contacto HH,-,Vortex Energía@example.com,(011) 5000-0034,Observación 34,S.R.L,4,23-45678904-6,01/06/2024,,SI,Mensual,$380.153,5,
D00035,EcoVisión S.R.L,EcoVisión,Empresa,Contacto II,-,EcoVisión@example.com,(011) 5000-0035,Observación 35,S.R.L,5,24-56789015-7,13/03/2024,01/04/2024,NO,Bimestral,$398.095,7,
D00036,NexuTech S.R.L,NexuTech,Empresa,Contacto JJ,-,NexuTech@example.com,(011) 5000-0036,Observación 36,S.R.L,4,25-67890126-8,31/30/2024,,SI,Anual,$385.421,7,
D00037,AlphaSystems S.R.L,AlphaSystems,Empresa,Contacto KK,-,AlphaSystems@example.com,(011) 5000-0037,Observación 37,S.R.L,5,26-78901237-9,01/02/2024,01/04/2024,NO,Mensual,$397.090,5,
D00038,MetroLogística S.R.L,MetroLogística,Empresa,Contacto LL,-,MetroLogística@example.com,(011) 5000-0038,Observación 38,S.R.L,4,27-89012348-0,20/05/2024,,SI,Bimestral,$259.341,7,
D00039,Quantum Ventures S.R.L,Quantum Ventures,Empresa,Contacto MM,-,Quantum Ventures@example.com,(011) 5000-0039,Observación 39,S.R.L,5,28-90123459-1,28/06/2024,,SI,Anual,$406.805,7,
D00040,Orion Innovaciones S.R.L,Orion Innovaciones,Empresa,Contacto NN,-,Orion Innovaciones@example.com,(011) 5000-0040,Observación 40,S.R.L,4,29-01234570-2,27/04/2024,,SI,Mensual,$333.954,5,
D00041,Jaan Pérez,Jaan Pérez,Individuo,Contacto OO,Secretario,Jaan Pérez@example.com,(011) 5000-0041,Observación 41,,4,20-12345682-4,29/02/2024,01/04/2024,NO,Bimestral,$86.846,7,
D00042,Ana López,Ana López,Individuo,Contacto PP,Analista,Ana López@example.com,(011) 5000-0042,Observación 42,,1,21-23456783-5,14/06/2024,,SI,Anual,$167.448,7,
D00043,Jorge Rodríguez,Jorge Rodríguez,Individuo,Contacto QQ,Director,Jorge Rodríguez@example,(011) 5000-0043,Observación 43,,5,22-34567894-6,14/05/2024,,SI,Mensual,$70.569,6,
D00044,Sofía Díaz,Sofía Díaz,Individuo,Contacto RR,Gerente,Sofía Díaz@example.com,(011) 5000-0044,Observación 44,,4,23-45678905-7,03/04/2024,,SI,Bimestral,$130.021,7,
D00045,alejandro Torres,alejandro Torres,Individuo,Contacto SS,Cordinador,alejandro Torres@example.com,(011) 5000-0045,Observación 45,,1,24-56789016-8,12/04/2024,,SI,Anual,$135.342,7,
D00046,Gabriela Ortiz,Gabriela Ortiz,Individuo,Contacto TT,Asistente,Gabriela Ortiz@example.com,(011) 5000-0046,Observación 46,,5,25-67890127-9,15/03/2024,01/04/2024,NO,Mensual,$55.258,6,
D00047,Sergio Rivas,Sergio Rivas,Individuo,Contacto UU,Secretario,Sergio Rivas@example.com,(011) 5000-0047,Observación 47,,4,26-78901238-0,11/04/2024,,SI,Bimestral,$104.301,7,
D00048,Patricia Navarro,Patricia Navarro,Individuo,Contacto VV,Analista,Patricia Navarro@example.com,(011) 5000-0048,Observación 48,,1,27-89012349-1,02/05/2024,,SI,Anual,$158.669,7,
D00049,Fernando Aguilar,Fernando Aguilar,Individuo,Contacto WW,Director,Fernando Aguilar@example.com,(011) 5000-0049,Observación 49,,5,28-90123450-2,17/16/2024,,SI,Mensual,$166.965,6,
D00050,Isabel Ríos,Isabel Ríos,Individuo,Contacto XX,Gerente,Isabel Ríos@example.com,(011) 5000-0050,Observación 50,,4,29-01234571-3,30/01/2024,01/04/2024,NO,Bimestral,$151.978,7,
D00051,Rafael Silva,Rafael Silva,Individuo,Contacto YY,Coordinador,Rafael Silva@example.com,(011) 5000-0051,Observación 51,,1,20-12345683-6,17/04/2024,,SI,Anual,$176.989,7,
D00052,Mónica León,Mónica León,,Contacto ZZ,Asistente,Mónica León@example.com,(011) 5000-0052,Observación 52,,5,21-23456784-7,04/02/2024,01/04/2024,NO,Mensual,$102.271,7,
D00053,Héctor Salazar,Héctor Salazar,Individuo,Contacto AAA,Secretario,Héctor Salazar@example.com,(011) 5000-0053,Observación 53,,4,22-34567895-8,27/06/2024,,SI,Bimestral,$154.758,7,
D00054,Carolina Mendoza,Carolina Mendoza,Individuo,Contacto BBB,Analista,Carolina Mendoza@example.com,(011) 5000-0054,Observación 54,,1,23-45678906-9,11/05/2024,,SI,Anual,$55.466,7,
D00055,Víctor Gil,Víctor Gil,Individuo,Contacto CCC,Director,Víctor Gil@example.com,(011) 5000-0055,Observación 55,,5,24-56789017-0,07/04/2024,,SI,Mensual,$89.589,6,
D00056,Claudia Ponce,Claudia Ponce,Individuo,Contacto DDD,Gerente,Claudia Ponce@example.com,(011) 5000-0056,Observación 56,,4,25-67890128-1,22/04/2024,,SI,Bimestral,$75.404,7,
D00057,Mario Espinoza,Mario Espinoza,Individuo,Contacto EEE,ccoordinador,Mario Espinoza@example.com,(011) 5000-0057,Observación 57,,1,26-78901229-2,06/02/2024,01/04/2024,NO,Anual,$114.077,7,
D00058,Rosa Cárdenas,Rosa Cárdenas,Individuo,Contacto FFF,Asistente,Rosa Cárdenas@example.com,(011) 5000-0058,Observación 58,,5,27-89012330-3,04/03/2024,01/04/2024,NO,Mensual,$174.259,6,
D00059,Adolfo Cabrera,Adolfo Cabrera,Individuo,Contacto GGG,Secretario,Adolfo Cabrera@example.com,(011) 5000-0059,Observación 59,,4,28-90123461-4,17/04/2024,,SI,Bimestral,$133.689,7,
D00060,Susana Muñoz,Susana Muñoz,Individuo,Contacto HHH,Analista,Susana Muñoz@example.com,(011) 5000-0060,Observación 60,,1,29-01234572-5,13/05/2024,,SI,Anual,$58.351,7,
D00061,Felipe Rojas,Felipe Rojas,Individuo,Contacto III,Director,Felipe Rojas@example.com,(011) 5000-0061,Observación 61,,5,20-12345684-7,17/03/2024,01/04/2024,NO,Mensual,$104.373,6,
D00062,Olga Vargas,Olga Vargas,Individuo,Contacto JJJ,Gerente,Olga Vargas@example.com,(011) 5000-0062,Observación 62,,4,21-23456785-8,16/05/2024,,SI,Bimestral,$167.335,7,
D00063,Esteban Rosales,Esteban Rosales,Individuo,Contacto KKK,Coordinador,Esteban Rosales@example.com,(011) 5000-0063,Observación 63,,1,22-34567896-9,29/01/2024,01/04/2024,NO,Anual,$99.055,7,
D00064,Emma Paredes,Emma Paredes,Individuo,Contacto LLL,Asistente,Emma Paredes@example.com,(011) 5000-0064,Observación 64,,5,23-45678907-0,26/06/2024,,SI,Mensual,$60.683,6,
D00065,Joaquín Serrano,Joaquín Serrano,Individuo,Contacto MMM,Secretario,Joaquín Serrano@example.com,(011) 5000-0065,Observación 65,,4,24-56789018-1,09/05/2024,,SI,Bimestral,$119.390,7,
D00066,Laura Márquez,Laura Márquez,Individuo,Contacto NNN,Analista,Laura Márquez@example.com,(011) 5000-0066,Observación 66,,1,25-67890129-2,01/02/2024,01/04/2024,NO,Anual,$117.232,7,
D00067,Damián Molina,Damián Molina,Individuo,Contacto OOO,Director,Damián Molina@example.com,(011) 5000-0067,Observación 67,,5,26-78901230-3,13/06/2024,,SI,Mensual,$100.701,6,
D00068,Viviana Herrera,Viviana Herrera,Individuo,Contacto PPP,Gerente,Viviana Herrera@example.com,(011) 5000-0068,Observación 68,,4,27-89012331-4,26/01/2024,01/04/2024,NO,Bimestral,$186.202,7,
D00068,Viviana Herrera,Viviana Herrera,,Contacto PPP,Gerente,Viviana Herrera@example.com,(011) 5000-0068,Observación 68,,4,27-89012331-4,26/01/2024,01/04/2024,NO,Bimestral,$173.157,7,
D00069,Agustín Martínez,Agustín Martínez,Individuo,Contacto QQQ,Coordinador,Agustín Martínez@example,(011) 5000-0069,Observación 69,,1,28-90123462-5,17/02/2024,01/04/2024,NO,Anual,$109.167,7,
D00070,Clara Torres,Clara Torres,Individuo,Contacto RRR,Asistente,Clara Torres@example.com,(011) 5000-0070,Observación 70,,5,29-01234573-6,29/05/2024,,SI,Mensual,$121.715,6,
D00071,Ezequiel Delgado,Ezequiel Delgado,Individuo,Contacto SSS,Secretario,Ezequiel Delgado@example.com,(011) 5000-0071,Observación 71,,4,20-12345685-8,12/06/2024,,SI,Bimestral,$181.679,7,
D00072,Pilar Ortiz,Pilar Ortiz,Individuo,Contacto TTT,Analista,Pilar Ortiz@example.com,(011) 5000-0072,Observación 72,,1,21-23456786-9,24/05/2024,,SI,Anual,$164.792,7,
D00073,Luciano Rivas,Luciano Rivas,Individuo,Contacto UUU,Director,Luciano Rivas@example.com,(011) 5000-0073,Observación 73,,5,22-34567897-0,12/04/2024,,SI,Mensual,$184.834,6,
D00074,Mía Morales,Mía Morales,Individuo,Contacto VVV,Gerente,Mía Morales@example.com,(011) 5000-0074,Observación 74,,4,23-45678908-1,19/02/2024,01/04/2024,NO,Bimestral,$173.825,7,
D00075,Carlos Gómez,Carlos Gómez,Individuo,Contacto WWW,COORDINADOR,Carlos Gómez@example.com,(011) 5000-0075,Observación 75,,1,24-56789019-2,02/02/2024,01/04/2024,NO,Anual,$166.200,7,
D00076,Mariana Fernández,Mariana Fernández,Individuo,Contacto XXX,Asistente,Mariana Fernández@example.com,(011) 5000-0076,Observación 76,,5,25-67890130-3,18/05/2024,,SI,Mensual,$106.340,6,
