Número Proveedor,Nombre Proveedor,Nombre Proveedor,CUIT,Categor/a Proveedor,tipo_contribuyente_id,Contacto,Correo Electrónico,Teléfono,Razón Social,Importe,Fecha,nro_cuenta_id,Ciudad,Pais
D00011,Javier López S.A.,Javier López,30-65432198-7,AGENTE /IMPOSITIVO,4,Javier López,javier.lopez@correo.zom,1234-5678,S.A.,$117.106,04/06/2024,38,,Argentina
D00030,Constructora Beta S.R.L.,Constructora Beta,30-32165499-3,SERVICIOS,5,Ricardo Martínez,ricardo.martinez@empresa.zom,0123-4567,S.R.L.,$23.335,07/01/2024,21,,Argentina
D00037,Distribuciones AB S.A.,Distribuciones AB,30-97531245-9,MATERIALES,5,Gabriela Ruiz,gabriela.ruiz@correo.com,7890-1234,S.A.,$75.330,08/03/2024,24,,Argentina
D00048,Estudio Jurídico Beta S.R.L.,Estudio Jurídico Beta,,MATERIALES,4,Estudio Jurídico,estudio.juridico@correo.zom,8901-2345,S.R.L.,$204.368,19/04/2024,21,,Argentina
D00053,Estudio Jurídico Zeta S.A.,Estudio Jurídico Zeta,30-12345678-5,SERVICIOS,5,Estudio Jurídico,estudio.zeta@correo.com,3456-7890,S.A.,$164.873,03/01/2024,19,,Argentina
D00055,Servicios Alpha S.A.,Servicios Alpha,30-24681360-6,SERVICIOS,5,Servicios Alpha,servicios.alpha@correo.zom,5678-9012,S.A.,$55.617,15/03/2024,24,,Argentina
P00001,Proveedora S.A.,Proveedora S.A.,30-12345678-9,SERVICIOS,5,Juan Pérez,juan.perez@empresa.com,1234-5678,S.A.,$189.954,18/03/2024,19,Buenos Aires,Argentina
P00002,Pedro González S.R.L.,Pedro González,30-87654321-0,SERVICIOS,4,Pedro González,pedro.gonzalez@correo.zom,2345-6789,S.R.L.,$18.521,08/02/2024,21,Cordoba,Argentina
P00003,Empresa XYZ S.A.,Empresa XYZ,30-13579246-3,MATERIALES,5,María López,maria.lopez@empresa.com,3456-7890,S.A.,$139.687,18/01/2024,24,Rosario,Argentina
P00004,Servicios AB S.R.L.,Servicios AB,30-24681357-2,AGENTE /IMPOSITIVO,5,Laura Ruiz,laura.ruiz@correo.zom,AR4567-8901,S.R.L.,$72.357,09/03/2024,27,Mendoza,Argentina
P00005,Carlos Méndez S.A.,Carlos Méndez,30123456789,SERVICIOS,4,Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A.,$173.227,28/03/2024,36,Buenos Aires,Argentina
P00005,Carlos Méndez S.A.,Carlos Méndez,30123456789,SERVICIOS,4,Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A.,$30.808,14/04/2024,38,Buenos Aires,Argentina
P00006,Grupo Alfa S.R.L.,Grupo Alfa,30-97531246-1,SERVICIOS,5,Alberto Fernández,alberto.fernandez@empresa.zom,6789-0123,S.R.L.,$150.678,09/01/2024,19,San Miguel de Tucumán,Argentina
P00007,Ana Sánchez S.A.,Ana Sánchez,30-19283746-4,SERVICIOS,5,Ana Sánchez,ana.sanchez@correo.com,7890-1234,S.A.,$101.603,06/05/2024,21,Mar del Plata,Argentina
P00008,Compañía Beta S.R.L.,Compañía Beta,30-74859632-7,AGENTE /IMPOSITIVO,4,Laura Martínez,laura.martinez@empresa.zom,8901-2345,S.R.L.,$58.428,12/06/2024,24,La Plata,Argentina
P00008,Compañía Beta S.R.L.,Compañía Beta,30-74859632-7,AGENTE /IMPOSITIVO,4,Laura Martínez,laura.martinez@empresa.zom,8901-2345,S.R.L.,$283.772,21/01/2024,24,La Plata,Argentina
P00009,Fernando Gómez S.A.,Fernando Gómez,30-12345679-8,MATERIALES,5,Fernando Gómez,fernando.gomez@correo.zom,9012-3456,S.A.,$98.854,20/01/2024,27,Mendoza,Argentina
P00009,Fernando Gómez S.A.,Fernando Gómez,30-12345679-8,MATERIALES,5,Fernando Gómez,fernando.gomez@correo.zom,9012-3456,S.A.,$155.351,06/03/2024,27,Mendoza,Argentina
P00010,Soluciones Gama S.R.L.,Soluciones Gama,30-98765432-1,SERVICIOS,5,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L.,$28.033,28/01/2024,36,Mar del Plata,Argentina
P00010,Soluciones Gama S.R.L.,Soluciones Gama,30-98765432-1,SERVICIOS,5,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L.,$242.014,02/05/2024,36,Mar del Plata,Argentina
P00012,Proveedor Ltda. S.R.L.,Proveedor Ltda.,30-32165487-0,SERVICIOS,5,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L.,$29.110,09/04/2024,19,Salta,Argentina
P00012,Proveedor Ltda. S.R.L.,Proveedor Ltda.,30-32165487-0,SERVICIOS,5,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L.,$128.252,03/06/2024,19,Salta,Argentina
P00013,Repuestos Omega S.A.,Repuestos Omega,30-45678901-2,SERVICIOS,4,Sergio Castro,sergio.castro@correo.zom,3456-7890,S.A.,$165.070,14/04/2024,21,Santa Fe,Argentina
P00013,Repuestos Omega S.A.,Repuestos Omega,30-45678901-2,SERVICIOS,4,Sergio Castro,sergio.castro@correo.zom,3456-7890,S.A.,$168.452,01/02/2024,21,Santa Fe,Argentina
P00014,Estudio Jurídico Alfa S.R.L.,Estudio Jurídico Alfa,30-13579248-7,MATERIALES,5,María Hernández,maria.hernandez@correo.com,4567-8901,S.R.L.,$78.723,15/01/2024,24,San Juan,Argentina
P00014,Estudio Jurídico Alfa S.R.L.,Estudio Jurídico Alfa,30-13579248-7,MATERIALES,5,María Hernández,maria.hernandez@correo.com,4567-8901,S.R.L.,$248.954,19/06/2024,24,San Juan,Argentina
P00015,Rosa Pérez S.A.,Rosa Pérez,30-24681358-6,AGENTE /IMPOSITIVO,5,Rosa Pérez,rosa.perez@correo.zom,5678-9012,S.A.,$115.620,24/05/2024,27,Buenos Aires,Argentina
